ID,Título,Categoria,Volumes,Lançamento,page_url,image_url
7741,Akabane Honeko no Bodyguard,Manga,Sem informações,Sep 2022 -,https://myanimelist.net/manga/152126/Akabane_Honeko_no_Bodyguard,https://cdn.myanimelist.net/r/100x140/images/manga/1/274126.jpgSem informaçõess=86b112008d643b207b3432b01c0ed823
7742,Hoshigami no Satsuki,One-shot,Sem informações,Sep 2014 - Sep 2014,https://myanimelist.net/manga/79985/Hoshigami_no_Satsuki,https://cdn.myanimelist.net/r/100x140/images/manga/3/138327.jpgSem informaçõess=b9d2ad723787f65147a8e486e7d459dc
7743,School Kill,One-shot,Sem informações,Aug 2013 - Aug 2013,https://myanimelist.net/manga/82353/School_Kill,https://cdn.myanimelist.net/r/100x140/images/manga/2/142807.jpgSem informaçõess=1a05d670fb419244f91155a770da4b7b
7744,Ragna Crimson,Manga,Sem informações,Mar 2017 -,https://myanimelist.net/manga/106733/Ragna_Crimson,https://cdn.myanimelist.net/r/100x140/images/manga/3/202075.jpgSem informaçõess=616983f7157bb497f673902a7b67cad8
7745,"Kantai Collection 4-koma Comic: Fubuki, Ganbarimasu!",Manga,17,May 2013 - Apr 2021,https://myanimelist.net/manga/63169/Kantai_Collection_4-koma_Comic__Fubuki_Ganbarimasu,https://cdn.myanimelist.net/r/100x140/images/manga/1/108365.jpgSem informaçõess=65264c7907e6903e2a240e80504d800e
7746,Setsuna no Rakuen,Manga,1,Apr 2007 - Jun 2007,https://myanimelist.net/manga/18058/Setsuna_no_Rakuen,https://cdn.myanimelist.net/r/100x140/images/manga/3/261619.jpgSem informaçõess=3b122003844e414a640149eda1c94ffd
7747,Kyoukaisenjou no Horako-san,Manga,1,Oct 2011 - Oct 2012,https://myanimelist.net/manga/42449/Kyoukaisenjou_no_Horako-san,https://cdn.myanimelist.net/r/100x140/images/manga/5/89047.jpgSem informaçõess=0d00b81094d0ca7a77b5c8652a7d6791
7748,Gekkou,Manga,7,Jun 2001 - Jul 2004,https://myanimelist.net/manga/1333/Gekkou,https://cdn.myanimelist.net/r/100x140/images/manga/3/260241.jpgSem informaçõess=7252dcf573f6da10a01f5cdbe646176b
7749,Koi no Jikan,Manga,1,Jan 2010 - Jul 2010,https://myanimelist.net/manga/80953/Koi_no_Jikan,https://cdn.myanimelist.net/r/100x140/images/manga/1/143217.jpgSem informaçõess=d68c43df7903dcabfca827c9778c0f02
7750,Boku no Hero Academia Tokubetsu Spin-off: Endeavor's Mission,One-shot,Sem informações,Aug 2021 - Aug 2021,https://myanimelist.net/manga/138751/Boku_no_Hero_Academia_Tokubetsu_Spin-off__Endeavors_Mission,https://cdn.myanimelist.net/r/100x140/images/manga/2/263694.jpgSem informaçõess=a5176cd94f2a521bb347214f4f9337ea
